sample	transcript	read_length
Treatment_1_demo	ENST00000338700	2005
Treatment_1_demo	ENST00000338700	655
Treatment_1_demo	ENST00000338700	630
Treatment_1_demo	ENST00000338700	415
Treatment_1_demo	ENST00000521452	1303
Treatment_1_demo	ENST00000521452	260
Treatment_1_demo	ENST00000338458	3490
Treatment_1_demo	ENST00000338458	1354
Treatment_1_demo	ENST00000338458	858
Treatment_1_demo	ENST00000338458	297
Treatment_1_demo	ENST00000338458	678
Treatment_1_demo	ENST00000311085	626
Treatment_1_demo	ENST00000311085	561
Treatment_1_demo	ENST00000311085	310
Treatment_1_demo	ENST00000311085	714
Treatment_1_demo	ENST00000311085	1439
Treatment_1_demo	ENST00000311085	1349
Treatment_1_demo	ENST00000311085	902
Treatment_1_demo	ENST00000311085	578
Treatment_1_demo	ENST00000311085	338
Treatment_1_demo	ENST00000537372	3301
Treatment_1_demo	ENST00000537372	1149
Treatment_1_demo	ENST00000537372	1132
Treatment_1_demo	ENST00000537372	839
Treatment_1_demo	ENST00000537372	688
Treatment_1_demo	ENST00000537372	430
Treatment_1_demo	ENST00000561157	244
Treatment_1_demo	ENST00000561157	151
Treatment_1_demo	ENST00000561157	246
Treatment_1_demo	ENST00000561157	302
Treatment_1_demo	ENST00000561157	463
Treatment_1_demo	ENST00000561157	512
Treatment_1_demo	ENST00000561157	262
Treatment_1_demo	ENST00000561157	328
Treatment_1_demo	ENST00000561157	257
Treatment_1_demo	ENST00000561157	1167
Treatment_1_demo	ENST00000561157	299
Treatment_1_demo	ENST00000561157	259
Treatment_1_demo	ENST00000561157	280
Treatment_1_demo	ENST00000561157	200
Treatment_1_demo	ENST00000561157	194
Treatment_1_demo	ENST00000561157	239
Treatment_1_demo	ENST00000561157	521
Treatment_1_demo	ENST00000561157	169
Treatment_1_demo	ENST00000561157	162
Treatment_1_demo	ENST00000561157	222
Treatment_1_demo	ENST00000561157	660
Treatment_1_demo	ENST00000561157	279
Treatment_1_demo	ENST00000561157	249
Treatment_1_demo	ENST00000561157	534
Treatment_1_demo	ENST00000561157	501
Treatment_1_demo	ENST00000561157	175
Treatment_1_demo	ENST00000561157	301
Treatment_1_demo	ENST00000561157	667
Treatment_1_demo	ENST00000561157	476
