sample	transcript	read_length
Treatment_2_demo	ENST00000338700	817
Treatment_2_demo	ENST00000521452	1239
Treatment_2_demo	ENST00000521452	606
Treatment_2_demo	ENST00000521452	350
Treatment_2_demo	ENST00000521452	381
Treatment_2_demo	ENST00000521452	261
Treatment_2_demo	ENST00000338458	3627
Treatment_2_demo	ENST00000338458	3652
Treatment_2_demo	ENST00000338458	3529
Treatment_2_demo	ENST00000338458	2458
Treatment_2_demo	ENST00000338458	791
Treatment_2_demo	ENST00000338458	547
Treatment_2_demo	ENST00000338458	487
Treatment_2_demo	ENST00000311085	3543
Treatment_2_demo	ENST00000311085	2824
Treatment_2_demo	ENST00000311085	361
Treatment_2_demo	ENST00000311085	321
Treatment_2_demo	ENST00000311085	1022
Treatment_2_demo	ENST00000311085	997
Treatment_2_demo	ENST00000311085	856
Treatment_2_demo	ENST00000311085	809
Treatment_2_demo	ENST00000311085	545
Treatment_2_demo	ENST00000311085	274
Treatment_2_demo	ENST00000537372	3487
Treatment_2_demo	ENST00000537372	3438
Treatment_2_demo	ENST00000537372	1239
Treatment_2_demo	ENST00000537372	751
Treatment_2_demo	ENST00000537372	599
Treatment_2_demo	ENST00000537372	420
Treatment_2_demo	ENST00000561157	637
Treatment_2_demo	ENST00000561157	298
Treatment_2_demo	ENST00000561157	477
Treatment_2_demo	ENST00000561157	395
Treatment_2_demo	ENST00000561157	1905
Treatment_2_demo	ENST00000561157	200
Treatment_2_demo	ENST00000561157	179
Treatment_2_demo	ENST00000401395	2127
Treatment_2_demo	ENST00000401395	1872
Treatment_2_demo	ENST00000401395	1406
Treatment_2_demo	ENST00000401395	562
Treatment_2_demo	ENST00000401395	467
Treatment_2_demo	ENST00000393389	1726
Treatment_2_demo	ENST00000393389	1118
Treatment_2_demo	ENST00000393389	650
Treatment_2_demo	ENST00000393389	1884
Treatment_2_demo	ENST00000393389	268
Treatment_2_demo	ENST00000393389	895
Treatment_2_demo	ENST00000393389	274
Treatment_2_demo	ENST00000610347	3736
Treatment_2_demo	ENST00000610347	3067
Treatment_2_demo	ENST00000610347	2017
Treatment_2_demo	ENST00000610347	822
Treatment_2_demo	ENST00000610347	384
Treatment_2_demo	ENST00000610347	316
Treatment_2_demo	ENST00000222345	387
Treatment_2_demo	ENST00000222345	2215
Treatment_2_demo	ENST00000222345	2210
Treatment_2_demo	ENST00000222345	1619
Treatment_2_demo	ENST00000222345	604
Treatment_2_demo	ENST00000222345	686
Treatment_2_demo	ENST00000222345	702
Treatment_2_demo	ENST00000222345	712
Treatment_2_demo	ENST00000222345	477
Treatment_2_demo	ENST00000222345	421
Treatment_2_demo	ENST00000222345	430
Treatment_2_demo	ENST00000222345	406
Treatment_2_demo	ENST00000222345	415
Treatment_2_demo	ENST00000222345	163
Treatment_2_demo	ENST00000257468	1447
Treatment_2_demo	ENST00000257468	785
Treatment_2_demo	ENST00000257468	678
Treatment_2_demo	ENST00000257468	636
Treatment_2_demo	ENST00000257468	611
Treatment_2_demo	ENST00000257468	518
Treatment_2_demo	ENST00000257468	472
Treatment_2_demo	ENST00000257468	432
Treatment_2_demo	ENST00000257468	441
Treatment_2_demo	ENST00000257468	244
Treatment_2_demo	ENST00000370996	3504
Treatment_2_demo	ENST00000370996	3432
Treatment_2_demo	ENST00000370996	1338
Treatment_2_demo	ENST00000370996	924
Treatment_2_demo	ENST00000370996	723
Treatment_2_demo	ENST00000370996	736
Treatment_2_demo	ENST00000370996	308
Treatment_2_demo	ENST00000370996	282
Treatment_2_demo	ENST00000349880	837
Treatment_2_demo	ENST00000610980	2208
Treatment_2_demo	ENST00000610980	2669
Treatment_2_demo	ENST00000610980	1183
Treatment_2_demo	ENST00000610980	753
Treatment_2_demo	ENST00000610980	335
Treatment_2_demo	ENST00000610980	265
Treatment_2_demo	ENST00000306376	697
Treatment_2_demo	ENST00000306376	797
Treatment_2_demo	ENST00000360375	3595
Treatment_2_demo	ENST00000360375	3171
Treatment_2_demo	ENST00000360375	932
Treatment_2_demo	ENST00000360375	3683
Treatment_2_demo	ENST00000360375	3547
Treatment_2_demo	ENST00000360375	3469
Treatment_2_demo	ENST00000360375	1296
Treatment_2_demo	ENST00000360375	443
Treatment_2_demo	ENST00000360375	706
Treatment_2_demo	ENST00000300870	1009
Treatment_2_demo	ENST00000300870	1865
Treatment_2_demo	ENST00000300870	1625
Treatment_2_demo	ENST00000300870	1594
Treatment_2_demo	ENST00000300870	430
Treatment_2_demo	ENST00000300870	1212
Treatment_2_demo	ENST00000300870	1014
Treatment_2_demo	ENST00000300870	991
