sample	transcript	read_length
Control_3_demo	ENST00000338700	6566
Control_3_demo	ENST00000338700	4593
Control_3_demo	ENST00000338700	3842
Control_3_demo	ENST00000521452	2491
Control_3_demo	ENST00000521452	1538
Control_3_demo	ENST00000338458	3804
Control_3_demo	ENST00000338458	3858
Control_3_demo	ENST00000338458	3700
Control_3_demo	ENST00000311085	4519
Control_3_demo	ENST00000311085	2669
Control_3_demo	ENST00000311085	641
Control_3_demo	ENST00000537372	3161
Control_3_demo	ENST00000561157	499
Control_3_demo	ENST00000561157	1956
Control_3_demo	ENST00000561157	428
Control_3_demo	ENST00000561157	129
Control_3_demo	ENST00000561157	169
Control_3_demo	ENST00000561157	482
Control_3_demo	ENST00000561157	2939
Control_3_demo	ENST00000401395	3221
Control_3_demo	ENST00000401395	2445
Control_3_demo	ENST00000401395	2483
Control_3_demo	ENST00000401395	1256
Control_3_demo	ENST00000393389	3749
Control_3_demo	ENST00000610347	3786
Control_3_demo	ENST00000610347	3581
Control_3_demo	ENST00000610347	2135
Control_3_demo	ENST00000222345	6170
Control_3_demo	ENST00000222345	3698
Control_3_demo	ENST00000222345	3513
Control_3_demo	ENST00000222345	2221
Control_3_demo	ENST00000222345	1465
Control_3_demo	ENST00000222345	1500
Control_3_demo	ENST00000222345	1427
Control_3_demo	ENST00000222345	844
Control_3_demo	ENST00000222345	702
Control_3_demo	ENST00000222345	304
Control_3_demo	ENST00000257468	1786
Control_3_demo	ENST00000257468	1439
Control_3_demo	ENST00000370996	2379
Control_3_demo	ENST00000620854	2547
Control_3_demo	ENST00000620854	2011
Control_3_demo	ENST00000620854	1777
Control_3_demo	ENST00000349880	4483
Control_3_demo	ENST00000349880	6270
Control_3_demo	ENST00000349880	780
Control_3_demo	ENST00000306376	628
Control_3_demo	ENST00000306376	675
Control_3_demo	ENST00000306376	3969
Control_3_demo	ENST00000306376	4020
Control_3_demo	ENST00000306376	3627
Control_3_demo	ENST00000306376	3659
Control_3_demo	ENST00000306376	1588
Control_3_demo	ENST00000306376	732
Control_3_demo	ENST00000306376	431
Control_3_demo	ENST00000360375	3823
Control_3_demo	ENST00000360375	3147
Control_3_demo	ENST00000360375	1237
Control_3_demo	ENST00000300870	2768
Control_3_demo	ENST00000300870	2838
Control_3_demo	ENST00000300870	1397
Control_3_demo	ENST00000300870	763
Control_3_demo	ENST00000261833	1151
Control_3_demo	ENST00000261833	5397
Control_3_demo	ENST00000261833	1825
Control_3_demo	ENST00000261833	2829
Control_3_demo	ENST00000261833	1821
Control_3_demo	ENST00000392588	2638
Control_3_demo	ENST00000392588	1886
Control_3_demo	ENST00000392588	1691
Control_3_demo	ENST00000392588	2469
Control_3_demo	ENST00000392588	1300
Control_3_demo	ENST00000381538	3322
Control_3_demo	ENST00000381538	2372
Control_3_demo	ENST00000448232	2647
Control_3_demo	ENST00000448232	2337
Control_3_demo	ENST00000448232	1324
Control_3_demo	ENST00000174653	2607
Control_3_demo	ENST00000394970	1777
Control_3_demo	ENST00000394970	2745
Control_3_demo	ENST00000637886	3927
Control_3_demo	ENST00000637886	3910
Control_3_demo	ENST00000637886	1775
Control_3_demo	ENST00000637886	581
Control_3_demo	ENST00000302475	8282
Control_3_demo	ENST00000302475	8141
Control_3_demo	ENST00000302475	2475
Control_3_demo	ENST00000314328	6091
Control_3_demo	ENST00000314328	821
Control_3_demo	ENST00000600228	3975
Control_3_demo	ENST00000258281	3178
Control_3_demo	ENST00000258281	1680
Control_3_demo	ENST00000424629	1131
Control_3_demo	ENST00000402965	1356
Control_3_demo	ENST00000402965	963
Control_3_demo	ENST00000402965	635
Control_3_demo	ENST00000509018	5319
Control_3_demo	ENST00000509018	3655
Control_3_demo	ENST00000509018	2320
Control_3_demo	ENST00000509018	1152
Control_3_demo	ENST00000509018	905
Control_3_demo	ENST00000271332	2940
Control_3_demo	ENST00000271332	3150
Control_3_demo	ENST00000271332	1448
Control_3_demo	ENST00000271332	1247
Control_3_demo	ENST00000271332	591
Control_3_demo	ENST00000379802	9145
Control_3_demo	ENST00000379802	6253
Control_3_demo	ENST00000379802	1247
Control_3_demo	ENST00000379802	3684
Control_3_demo	ENST00000379802	3039
Control_3_demo	ENST00000379802	2827
Control_3_demo	ENST00000379802	1648
Control_3_demo	ENST00000379802	1644
Control_3_demo	ENST00000379802	1337
Control_3_demo	ENST00000379802	1262
Control_3_demo	ENST00000379802	1090
Control_3_demo	ENST00000379802	986
Control_3_demo	ENST00000379802	594
